feature_name,outcome_name,exposed_users,exposed_positive,exposed_rate,exposed_ci_low,exposed_ci_high,unexposed_users,unexposed_positive,unexposed_rate,unexposed_ci_low,unexposed_ci_high,risk_difference_pp,risk_ratio,odds_ratio,p_value,q_value_bh
activated_primary,d30_core_behavior_return,35144,44,0.001251991805,0.000932823611,0.001680180631,135269,41,0.0003030997494,0.0002234490364,0.0004111311047,0.09488920558,4.130626329,4.134550761,1.265089805e-12,1.395961165e-12
deep_activated_24h,d30_core_behavior_return,6860,12,0.001749271137,0.001000966623,0.003055283655,163553,73,0.0004463384958,0.0003550368808,0.0005611061401,0.1302932641,3.919158113,3.924273461,2.191473119e-06,2.191473119e-06
repeated_core_value_24h,d30_core_behavior_return,21815,40,0.001833600733,0.001346915678,0.002495701675,148598,45,0.0003028304553,0.0002263451432,0.0004051507918,0.1530770278,6.054875595,6.064161245,3.209144131e-21,3.949715854e-21
returned_within_24h,d30_core_behavior_return,20038,31,0.001547060585,0.001090153512,0.002195046551,150375,54,0.0003591022444,0.0002752584673,0.000468472883,0.118795834,4.30813399,4.313259804,1.496481955e-12,1.596247419e-12
activated_primary,d30_product_return,35144,80,0.002276348737,0.001829563704,0.002831930488,135269,114,0.0008427651568,0.0007016549784,0.001012225327,0.143358358,2.70104752,2.704928532,1.24228419e-12,1.395961165e-12
deep_activated_24h,d30_product_return,6860,22,0.003206997085,0.002118874041,0.004851196452,163553,172,0.001051646867,0.0009058493801,0.001220881949,0.2155350218,3.049499966,3.056093853,2.145405644e-07,2.214612278e-07
repeated_core_value_24h,d30_product_return,21815,69,0.003162961265,0.002500257756,0.004000612562,148598,125,0.0008411957092,0.0007061341307,0.001002064478,0.2321765556,3.760077745,3.768835464,2.177314511e-21,2.786962574e-21
returned_within_24h,d30_product_return,20038,60,0.002994310809,0.002327154511,0.003851991206,150375,134,0.0008911055694,0.0007525089495,0.001055201871,0.210320524,3.360220059,3.367308517,1.098705261e-16,1.302169198e-16
activated_primary,d7_core_behavior_return,46797,262,0.005598649486,0.004962018044,0.00631644282,191852,220,0.001146717261,0.001004936926,0.001308474307,0.4451932225,4.882327733,4.904185901,1.944271391e-82,3.110834225e-82
deep_activated_24h,d7_core_behavior_return,8975,76,0.008467966574,0.006771317315,0.01058520463,229674,406,0.001767722946,0.001604058739,0.001948053444,0.6700243627,4.790324519,4.822694973,9.615786431e-44,1.337848547e-43
repeated_core_value_24h,d7_core_behavior_return,27852,231,0.008293838863,0.007294467467,0.009428827699,210797,251,0.001190719033,0.001052311595,0.00134730624,0.710311983,6.965403788,7.015293664,6.081881893e-136,1.081223448e-135
returned_within_24h,d7_core_behavior_return,26574,183,0.006886430345,0.005960926481,0.007954479681,212075,299,0.001409878581,0.001258962277,0.001578857162,0.5476551765,4.884413764,4.911348997,2.10875832e-78,3.213346011e-78
activated_primary,d7_product_return,46797,435,0.009295467658,0.008465394039,0.01020609629,191852,727,0.003789379313,0.003524206512,0.004074423,0.5506088345,2.453031721,2.466665059,3.984413249e-53,5.795510181e-53
deep_activated_24h,d7_product_return,8975,133,0.0148189415,0.0125186928,0.01753434467,229674,1029,0.00448026333,0.004215298006,0.004761804207,1.033867817,3.307605025,3.342315664,2.421566408e-43,3.22875521e-43
repeated_core_value_24h,d7_product_return,27852,391,0.01403848916,0.01272228827,0.01548872306,210797,771,0.003657547309,0.003408735456,0.003924449024,1.038094185,3.838224901,3.87863661,5.242666663e-121,8.82975438e-121
returned_within_24h,d7_product_return,26574,435,0.01636938361,0.01491215621,0.01796641522,212075,727,0.003428032536,0.003188107037,0.0036859472,1.294135107,4.775154097,4.837979455,1.587290867e-179,2.987841632e-179
activated_primary,future_conversion_24h_to_30d,35144,645,0.01835306169,0.01700148002,0.01980992589,135269,293,0.002166054307,0.001932042715,0.002428340732,1.618700738,8.473038572,8.612755952,2.418005526e-292,1.105373955e-291
deep_activated_24h,future_conversion_24h_to_30d,6860,246,0.03586005831,0.0317132999,0.04052634342,163553,692,0.004231044371,0.003927903412,0.004557473577,3.162901394,8.475462596,8.753503691,1.21231872e-263,3.526745366e-263
repeated_core_value_24h,future_conversion_24h_to_30d,21815,614,0.02814577126,0.02603275554,0.03042493774,148598,324,0.002180379278,0.001955746666,0.002430749843,2.596539198,12.90865839,13.25354383,2.225073859e-308,1.780059087e-307
returned_within_24h,future_conversion_24h_to_30d,20038,406,0.02026150314,0.01840068054,0.02230623057,150375,532,0.003537822111,0.003250145368,0.003850863315,1.672368103,5.727111908,5.824871048,1.774688714e-198,3.786002591e-198
